line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
N28HT/3IIH6,115.93,NA,NA,NA,148.82,NA,160.69,NA,90.315,114.45,187.245,119.225,155.54,103.095,160.915,146.4379463,161.085,141.7484594,232.59
OS420/3IIH6,90.605,NA,NA,NA,91.8,NA,133.87,NA,114.245,120.135,173,101.94,179.51,109.07,173.24,167.4087908,157.955,175.89262215,209.105
PB80/PHZ51,85.535,92.425,113.445,115.06,115.305,146.17,148.105,148.225,222.695,156.07,185.225,182.35,NA,188.64,168.94,180.54101945,212.045,201.24620415,219.425
PHB09/3IIH6,126.91,NA,NA,NA,153.03,NA,170.48,NA,NA,148.785,175.64,158.295,182.27,178.89,188.89,NA,154.71,NA,209.935
PHB47/3IIH6,106.235,121.085,NA,NA,139.7125,NA,159.76,182.66,NA,151.535,177.35,189.0325,190.095,173.915,191.43,209.53726585,189.3,205.01485715,210.845
PHB47/LH123HT,NA,102.0475,NA,NA,NA,NA,NA,NA,141.72,156.84,192.275,NA,NA,221.57,197.88,223.72907905,207.94,229.17433005,210.865
PHB47/LH162,NA,144.9275,NA,NA,150.09,NA,NA,189.3,NA,131.875,NA,166.28,165.685,NA,157.32,159.7311023,NA,194.5026974,NA
PHB47/LH185,NA,120.475714285714,NA,NA,166.4,NA,NA,157.985,174.775,169.76,198.92,225.48,195.93,200.29,200.74,223.1551008,197.415,223.068758225,209.645
PHB47/LH38,NA,104.535,NA,NA,NA,NA,NA,NA,143.945,151.42,180.33,NA,NA,157.945,165.155,203.87564585,172.885,195.98602365,184.9
PHB47/LH51,NA,117.335,NA,NA,NA,NA,NA,NA,192.315,157.22,153.99,NA,NA,181.09,193.765,216.26516525,204.63,213.4771395,203.455
PHB47/LH82,NA,103.8,NA,NA,NA,NA,NA,NA,173.82,148.28,94.605,NA,NA,156.755,195.845,232.6018808,179.17,191.64378995,194.055
PHB47/PHG29,NA,113.145,NA,NA,NA,NA,NA,NA,143.305,167.57,144.57,NA,NA,169.375,172.465,209.59613865,172.64,201.3395554,203.07
